time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.24035603587929e-06,1.6525815154894543e-07,10.00289241540017,0.00017324585535938297,0.0013667891265471965,0.0,-0.00016403265772298487,1.4855709258046745e-05,0.09640981884832901,0.008114010934139344,0.04863022675684995,0.0,433.76257681920464,437.82678671919496,435.3802992470378,436.05846662528234
0.12000000000000001,-5.154868795898551e-05,7.306415283478339e-06,10.011754688513193,0.001266708064576072,0.004145090695676146,0.0,-0.0017716498068320007,0.0003094559059839539,0.19898552684441578,0.0331999536151108,0.04119559885504881,0.0,437.85084326616277,437.2332966180849,436.88284266626715,438.9690912468217
0.18,-0.00027473327930762167,6.715650980705254e-05,10.031344513609204,0.0030193639994990917,0.006916852308642696,0.0,-0.005997038824629672,0.0019212939114617781,0.45393975888049753,0.01972008244766292,0.05467906943642419,0.0,482.71918905135476,483.73648028700376,484.57018281087693,483.5561405021359
0.23999999999999996,-0.0007994555316952342,0.00025296099177239743,10.062687186671567,0.004253405189635906,0.010971966130461475,0.0,-0.011895903130221758,0.0044019109526805995,0.5907509172241554,0.022210077691379383,0.08548115681983805,0.0,446.7509075029726,449.2581495102443,449.23979444318525,449.44159844278613
0.3,-0.0017545808459419028,0.000608034119201147,10.100704643512241,0.005314324372880819,0.016286288849431507,0.0,-0.020463256919125962,0.007555186579035164,0.6764430492882973,0.006594348930815783,0.09412689534721604,0.0,432.64228810907633,433.376228779419,433.115033719605,431.7998307286578
0.36000000000000004,-0.0033479682797511617,0.0011749028439059343,10.144727746027629,0.00552658819631624,0.02183502509263935,0.0,-0.03323169478550378,0.011372508135658509,0.7909100207073501,-0.0034099815648503053,0.08896335829276068,0.0,441.8194308870461,441.4008332432806,442.7910226983,441.9672973430524
0.4200000000000001,-0.005832386574303985,0.00197559523299834,10.196015371536681,0.004796054238937586,0.026892732737421987,0.0,-0.05013395101193895,0.01528042211992428,0.918569920833698,-0.04232548802309072,0.07278437845874804,0.0,446.55551676711525,445.2396809843003,448.30698493686384,445.13410380625885
0.48000000000000015,-0.00950120846018769,0.0029957542401162366,10.257321127664657,0.0024096394393540166,0.031143220040219965,0.0,-0.07266284230403813,0.01843458324415067,1.1247612218643126,-0.03510542520081434,0.06664354906931352,0.0,470.5219844306023,470.04993069807045,470.13678907155963,470.69508344905654
0.5400000000000001,-0.014621368490764992,0.004149906587731335,10.330985457755556,0.00022901073591086174,0.03521563492004809,0.0,-0.09847732770330918,0.019784646933456898,1.330483680195271,-0.03894270788225532,0.07022551096626581,0.0,470.0652935609737,470.34594036343566,471.21670743791947,470.9194913709343
0.6000000000000002,-0.0213899103278215,0.005332390185303764,10.417025166892113,6.280583715834686,0.03964292616765963,0.0,-0.12764169074169598,0.019339061979745553,1.5372311888237509,-0.07370885495236065,0.08009769430180227,0.0,471.28285159907404,472.0490754871344,472.5614433573247,469.87261540851824
0.6600000000000003,-0.03014008413657612,0.006400976308945549,10.518514675578798,6.275668461976585,0.044061387066696156,0.0,-0.16463196879654415,0.015675430639654587,1.845276968066009,-0.1083023914545625,0.05582787727091472,0.0,501.8027143947332,500.0413925636707,502.36352890713204,499.84389171874847
0.7200000000000003,-0.041016376750069375,0.0071467579343086835,10.633892579872908,6.2690128319927645,0.047524468992754976,0.0,-0.19827559432780248,0.008462602986756548,2.0003677565110003,-0.1167690193187313,0.061251679195946075,0.0,458.3548012348442,458.7877984795446,456.90180725782767,456.2157526668827
0.7800000000000004,-0.0540324431926666,0.007296221466233036,10.75945111753895,6.2624465758765275,0.051184771149301866,0.0,-0.23599768269150367,-0.004248151397787961,2.1845459943461414,-0.09778826197998748,0.06050735535302838,0.0,466.719537069995,466.6639027798465,466.4618706548564,467.9315257557457
0.8400000000000004,-0.06928270704053892,0.006582976011589373,10.893857912112068,6.256458033167688,0.054680474480345964,0.0,-0.2727037973054536,-0.020135176593713115,2.2954259389216336,-0.10418857108664117,0.05334499221972109,0.0,445.8310645178771,445.2478421854409,445.38350910970155,444.8511577572055
0.9000000000000005,-0.08713417032879164,0.004625512462832006,11.040816291306507,6.250665255326439,0.05761509177676416,0.0,-0.3227197755385993,-0.045888871039424795,2.602486149609966,-0.08450163872976821,0.0381100155241233,0.0,503.9053885929295,502.80406072036595,503.0404802327589,504.4570377402649
0.9600000000000005,-0.10820486354936411,0.0008899287925115588,11.208652258318292,6.245564137739223,0.06008321967977359,0.0,-0.37992866288606186,-0.07933368894495146,2.991056832713519,-0.08607248224344634,0.04658618545050503,0.0,526.4184780752003,527.0052569348935,527.3382534395998,527.2250449617167
1.0200000000000005,-0.13223568029792424,-0.004654203458773715,11.390770361213836,6.240125030095339,0.06288985407211278,0.0,-0.42136694681719383,-0.10598983285827394,3.0792641409417594,-0.10188695206852535,0.04715651484202586,0.0,442.0527189562874,442.1010316644614,443.3328480653769,442.02443710163726
1.0800000000000005,-0.15883561687574688,-0.011928352389562986,11.578556728613714,6.234140129339906,0.06630589663358055,0.0,-0.4656059807508283,-0.13708517086136884,3.1799444973615625,-0.09578469110983914,0.07153145720879889,0.0,446.4433033873946,448.42983490737765,446.1496906191984,446.6391076895924
1.1400000000000006,-0.18809410134768229,-0.021136773625298644,11.771304815055856,6.228537377584221,0.07023145762833494,0.0,-0.5100684602749149,-0.17039958687797138,3.2447381853979738,-0.08895974932644186,0.048986828862023137,0.0,438.4430430914524,436.5690333231738,434.7617846409733,435.32565332791927
